Question,Knowledge,Ground Truth,Difficulty Level,Hallucinated Answer,Category of Hallucination
Does hypercholesterolemia increase the production of leukotriene B4 in neutrophils by enhancing the nuclear localization of 5-lipoxygenase?,"['Neutrophils can synthesize leukotriene B4 (LTB4) by activating the 5-lipoxygenase (5-LO)signaling pathway. LTB4 is a pro-inflammatory mediator associated with the etiology and progression of atherosclerosis. It can increase function and number of neutrophils in an autocrine manner. Since hypercholesterolemia is associated with an increase in the number and function of neutrophils, we hypothesized that this effect could be mediated through increased production of LTB4 in neutrophils.',
       'Hypercholesterolemia was modeled in Wistar rats by feeding them with a high cholesterol diet. The induction of hypercholesterolemia caused an increase in the plasma levels of LTB4, following lipopolysaccharide stimulation. This effect was recapitulated in vitro, both in the presence and absence of stimulation with the activator of 5-LO, A23187. Neutrophils in hypercholesterolemia rats expressed similar total levels of 5-LO as control rats, but displayed increased nuclear localization of 5-LO, as well as elevated levels of phosphorylated 5-LO and ERK1/2. In vitro, MβCD/cholesterol complexes enriched cholesterol in neutrophils, resulted in similar changes in 5-LO/LTB4. In addition, these alterations could be inhibited with the ERK inhibitor PD98059.']","Hypercholesterolemia increases LTB4 production in neutrophils by increasing the nuclear localization of 5-LO, which is the result of its phosphorylation by activated ERK1/2.",Easy,Hypercholesterolemia increases LTB4 production by enhancing 5-LO's enzymatic activity directly.,Mechanism and Pathway Misattribution
Do molecular signatures of mood stabilisers highlight the role of the transcription factor REST/NRSF?,"['The purpose of this study was to address the affects of mood modifying drugs on the transcriptome, in a tissue culture model, using qPCR arrays as a cost effective approach to identifying regulatory networks and pathways that might coordinate the cell response to a specific drug.',
       'We addressed the gene expression profile of 90 plus genes associated with human mood disorders using the StellARray™ qPCR gene expression system in the human derived SH-SY5Y neuroblastoma cell line.',
       'Global Pattern Recognition (GPR) analysis identified a total of 9 genes (DRD3(⁎), FOS(†), JUN(⁎), GAD1(⁎†), NRG1(⁎), PAFAH1B3(⁎), PER3(⁎), RELN(⁎) and RGS4(⁎)) to be significantly regulated in response to cellular challenge with the mood stabilisers sodium valproate ((⁎)) and lithium ((†)). Modulation of FOS and JUN highlights the importance of the activator protein 1 (AP-1) transcription factor pathway in the cell response. Enrichment analysis of transcriptional networks relating to this gene set also identified the transcription factor neuron restrictive silencing factor (NRSF) and the oestrogen receptor as an important regulatory mechanism.']",Cell line models offer a window of what might happen in vivo but have the benefit of being human derived and homogenous with regard to cell type.,Hard,"Molecular signatures highlight REST/NRSF's role, not AP-1.",Mechanism and Pathway Misattribution
Does preconditioning of skeletal myoblast-based engineered tissue constructs enable functional coupling to myocardium in vivo?,"['Skeletal myoblasts fuse to form functional syncytial myotubes as an integral part of the skeletal muscle. During this differentiation process, expression of proteins for mechanical and electrical integration is seized, which is a major drawback for the application of skeletal myoblasts in cardiac regenerative cell therapy, because global heart function depends on intercellular communication.',
       'Mechanically preconditioned engineered tissue constructs containing neonatal mouse skeletal myoblasts were transplanted epicardially. A Y-chromosomal specific polymerase chain reaction (PCR) was undertaken up to 10 weeks after transplantation to confirm the presence of grafted cells. Histologic and electrophysiologic analyses were carried out 1 week after transplantation.',
       'Cells within the grafted construct expressed connexin 43 at the interface to the host myocardium, indicating electrical coupling, confirmed by sharp electrode recordings. Analyses of the maximum stimulation frequency (5.65 ± 0.37 Hz), conduction velocity (0.087 ± 0.011 m/s) and sensitivity for pharmacologic conduction block (0.736 ± 0.080 mM 1-heptanol) revealed effective electrophysiologic coupling between graft and host cells, although significantly less robust than in native myocardial tissue (maximum stimulation frequency, 11.616 ± 0.238 Hz, P\xa0<\xa0.001; conduction velocity, 0.300 ± 0.057 m/s, P\xa0<\xa0.01; conduction block, 1.983 ± 0.077 mM 1-heptanol, P\xa0<\xa0.001).']","Although untreated skeletal myoblasts cannot couple to cardiomyocytes, we confirm that mechanical preconditioning enables transplanted skeletal myoblasts to functionally interact with cardiomyocytes in vivo and, thus, reinvigorate the concept of skeletal myoblast-based cardiac cell therapy.",Easy,"Mechanical preconditioning enhances calcium channel activity, promoting myoblast differentiation into cardiomyocytes.",Mechanism and Pathway Misattribution
Does treatment with egg antigens of Schistosoma mansoni ameliorate experimental colitis in mice through a colonic T-cell-dependent mechanism?,"['Helminth-derived molecules are being identified as a new therapeutic approach for immune-mediated diseases. We investigated the anti-inflammatory effect and the immunological mechanisms of Schistosoma mansoni soluble egg antigens (SmSEA) in a mouse model of chronic colitis.',
       'Colitis was induced in immunocompromised severe combined immunodeficiency mice by the adoptive transfer of CD4CD25CD62L T cells. Two weeks post-transfer, SmSEA treatments were started (study 1: 1 × 20 μg SmSEA per week 5 times; study 2: 2 × 20 μg SmSEA per week 3 times). From the start of the treatment (week 2), the clinical outcome and colonic inflammation were assessed at different time points by a clinical disease score and colonoscopy, respectively. At the end of the studies, the colons were harvested for macroscopic examination, and colonic lamina propria mononuclear cells were isolated for flow cytometric T-cell characterization.',
       'In both studies, administration of SmSEA in colitis mice improved all the inflammatory parameters studied. However in study 1, this beneficial effect on inflammation diminished with time, and the T-cell characterization of the lamina propria mononuclear cells, performed at week 6, revealed no immunological effects of the SmSEA treatment. In study 2, mice were killed earlier (week 4) and at that time point, we found a significant downregulation of the number of interleukin-17A-producing T cells and a significant upregulation of the number of interleukin-4-producing T cells in the colon of the SmSEA-treated colitis mice.']",Our results demonstrated that the administration of SmSEA reduces the severity of colitis in the adoptive transfer mouse model characterized by an increased Th2 response and a suppressed Th17 response in the colon.,Easy,Treatment with egg antigens of Schistosoma mansoni ameliorates experimental colitis in mice through a colonic B-cell-dependent mechanism.,Mechanism and Pathway Misattribution
Is abnormal left ventricular contractile response to exercise in the absence of obstructive coronary artery disease associated with resting left ventricular long-axis dysfunction?,"['The etiology of reduced left ventricular (LV) ejection fraction after exercise, without obstructive coronary artery disease or other established causes, is unclear. The aims of this study were to determine whether patients undergoing treadmill stress echocardiography with this abnormal LV contractile response to exercise (LVCRE) without established causes have resting LV long-axis dysfunction or microvascular dysfunction and to determine associations with this abnormal LVCRE.',
       'Of 5,275 consecutive patients undergoing treadmill stress echocardiography, 1,134 underwent cardiac computed tomography angiography or invasive angiography. Having excluded patients with obstructive coronary artery disease, hypertensive response, submaximal heart rate response, resting LV ejection fraction < 50%, and valvular disease, 110 with ""abnormal LVCRE"" and 212 with ""normal LVCRE"" were analyzed. Resting mitral annular velocities were measured to assess LV long-axis function. Myocardial blush grade and corrected Thrombolysis In Myocardial Infarction frame count were determined angiographically to assess microvascular function.',
       ""Comparing normal LVCRE with abnormal LVCRE, age (mean, 59.7 ± 11.1 vs 61.4 ± 10.0 years), hypertension (53% vs 55%), diabetes (16% vs 20%), and body mass index (mean, 29.1 ± 5.4 vs 29.5 ± 6.4 kg/m(2)) were similar (P > .05). Abnormal LVCRE had reduced resting LV long-axis function with lower septal (mean, 6.1 ± 1.9 vs 7.7 ± 2.2 cm/sec) and lateral (mean, 8.1 ± 2.9 vs 10.4 ± 3.0 cm/sec) e' velocities (P < .001) and larger resting left atrial volumes (mean, 37.3 ± 10.1 vs 31.1 ± 7.2 mL/m(2), P < .001). On multivariate analysis, female gender (odds ratio [OR], 1.21; 95% confidence interval [CI], 1.15-1.99; P < .001), exaggerated chronotropic response (OR, 1.49; 95% CI, 1.09-2.05; P < .001), resting left atrial volume (OR, 2.38; 95% CI, 1.63-3.47; P < .001), and resting lateral e' velocity (OR, 1.70; 95% CI, 1.22-2.49; P = .003) were associated with abnormal LVCRE, but not myocardial blush grade or corrected Thrombolysis In Myocardial Infarction frame count.""],
      dtype=object), 'labels': array(['BACKGROUND', 'METHODS', 'RESULTS']",An abnormal LVCRE in the absence of established causes is associated with resting LV long-axis dysfunction and is usually seen in women.,Medium,An abnormal LVCRE is linked to impaired mitochondrial function in cardiac myocytes.,Mechanism and Pathway Misattribution
Is sleep efficiency ( but not sleep duration ) of healthy school-age children associated with grades in math and languages?,"['The objective of this study was to examine the associations between objective measures of sleep duration and sleep efficiency with the grades obtained by healthy typically developing children in math, language, science, and art while controlling for the potential confounding effects of socioeconomic status (SES), age, and gender.',
       ""We studied healthy typically developing children between 7 and 11 years of age. Sleep was assessed for five week nights using actigraphy, and parents provided their child's most recent report card."",
       'Higher sleep efficiency (but not sleep duration) was associated with better grades in math, English language, and French as a second language, above and beyond the contributions of age, gender, and SES.']","Sleep efficiency, but not sleep duration, is associated with academic performance as measured by report-card grades in typically developing school-aged children. The integration of strategies to improve sleep efficiency might represent a successful approach for improving children's readiness and/or performance in math and languages.",Easy,Sleep efficiency affects academic performance by enhancing cognitive functions like memory and attention.,Mechanism and Pathway Misattribution
Are vitamin D levels and bone turnover markers related to non-alcoholic fatty liver disease in severely obese patients?,"['Morbidly obese patients usually present vitamin D deficiency or secondary hyperparathyroidism. Low vitamin D levels have been recently related to non-alcoholic fatty liver disease (NAFLD). The aim of this study was to analyse the relationship between vitamin D, bone turnover markers and non-alcoholic fatty liver disease and metabolic syndrome in severely obese patients.',
       'One hundred and ten patients who underwent bariatric surgery were included. Liver biopsy was taken during surgery. Two univariate analyses were carried out in order to i) analyse the relationship between liver histology and vitamin D-bone turnover markers (intact parathyroid hormone (PTH), osteocalcin and Carboxy-terminal collagen crosslinks) and ii) establish the association between metabolic syndrome components-insulin resistance (HOMA) and vitamin D-bone turnover markers.',
       '70% of the patients had lower levels of vitamin D or secondary hyperparathyroidism. None of the components of liver histology were associated with levels of vitamin D or with bone turnover parameters. Patients with metabolic syndrome showed lower levels of PTH and osteocalcin (72,42 (29,47) vs 61.25(19.59) p-Value: 0.022; 19.79 (10.43) vs 16.87(10.25) p-Value: 0,028, respectively). HOMA was not related to Vitamin D or bone turnover markers.']",Low levels of vitamin D or hyperparathyroidism are common in severely obese patients. Vitamin D and bone metabolism markers were associated neither to NAFLD nor with metabolic syndrome in our series of obese morbid patients.,Medium,"Low vitamin D levels lead to increased bone turnover, causing non-alcoholic fatty liver disease.",Mechanism and Pathway Misattribution
Are outcomes of abdominal wall reconstruction with acellular dermal matrix affected by wound contamination?,"['The optimal type of mesh for complex abdominal wall reconstruction has not been elucidated. We hypothesized that AWRs using acellular dermal matrix (ADM) experience low rates of surgical site occurrence (SSO) and surgical site infection, despite increasing degrees of wound contamination.',
       'We retrospectively reviewed prospectively collected data from consecutive abdominal wall reconstructions with ADM over a 9-year period. Outcomes of abdominal wall reconstructions were compared between patients with different CDC wound classifications. Univariate and multivariate logistic regression and Cox proportional hazard regression analyses identified potential associations and predictive/protective factors.',
       'The 359 patients had a mean follow-up of 28.3 ± 19.0 months. Reconstruction of clean wounds (n\xa0= 171) required fewer reoperations than that of combined contaminated (n\xa0=\xa0188) wounds (2.3% vs 11.2%; p\xa0= 0.001) and trended toward experiencing fewer SSOs (19.9% vs 28.7%, p\xa0= 0.052). There were no significant differences between clean and combined contaminated cases in 30-day SSI (8.8% vs 8.0%), hernia recurrence (9.9% vs 10.1%), and mesh removal (1.2% vs 1.1%) rates. Independent predictors of SSO included body mass index ≥30 kg/m(2) (odds ratio [OR] 3.6; p < 0.001), 1 or more comorbidities (OR 2.5; p\xa0= 0.008), and defect width ≥15 cm (OR 1.8; p\xa0= 0.02).']",Complex abdominal wall reconstructions using ADM demonstrated similar rates of complications between the different CDC wound classifications. This is in contradistinction to published outcomes for abdominal wall reconstruction using synthetic mesh that show progressively higher complication rates with increasing degrees of contamination. These data support the use of ADM rather than synthetic mesh for complex abdominal wall reconstruction in the setting of wound contamination.,Hard,ADM shows higher infection rates with contaminated wounds.,Incomplete Information
Does airway pressure release ventilation reduce conducting airway micro-strain in lung injury?,"['Improper mechanical ventilation can exacerbate acute lung damage, causing a secondary ventilator-induced lung injury (VILI). We hypothesized that VILI can be reduced by modifying specific components of the ventilation waveform (mechanical breath), and we studied the impact of airway pressure release ventilation (APRV) and controlled mandatory ventilation (CMV) on the lung micro-anatomy (alveoli and conducting airways). The distribution of gas during inspiration and expiration and the strain generated during mechanical ventilation in the micro-anatomy (micro-strain) were calculated.',
       'Rats were anesthetized, surgically prepared, and randomized into 1 uninjured control group (n\xa0= 2) and 4 groups with lung injury: APRV 75% (n\xa0= 2), time at expiration (TLow) set to terminate appropriately at 75% of peak expiratory flow rate (PEFR); APRV 10% (n\xa0= 2), TLow set to terminate inappropriately at 10% of PEFR; CMV with PEEP 5 cm H2O (PEEP 5; n\xa0= 2); or PEEP 16 cm H2O (PEEP 16; n\xa0= 2). Lung injury was induced in the experimental groups by Tween lavage and ventilated with their respective settings. Lungs were fixed at peak inspiration and end expiration for standard histology. Conducting airway and alveolar air space areas were quantified and conducting airway micro-strain was calculated.',
       'All lung injury groups redistributed inspired gas away from alveoli into the conducting airways. The APRV 75% minimized gas redistribution and micro-strain in the conducting airways and provided the alveolar air space occupancy most similar to control at both inspiration and expiration.']","In an injured lung, APRV 75% maintained micro-anatomic gas distribution similar to that of the normal lung. The lung protection demonstrated in previous studies using APRV 75% may be due to a more homogeneous distribution of gas at the micro-anatomic level as well as a reduction in conducting airway micro-strain.",Medium,APRV 75% reduces conducting airway micro-strain by optimizing alveolar recruitment.,Mechanism and Pathway Misattribution
Do a simplified method of preventing implant hex drive from aspiration or accidental swallowing during stage two implant recovery?,"['To prevent accidental ingestion of implant hex dive.',
       ""Dental floss which is used to stabilize the hex drive is tied to the operator's finger ring to overcome sudden aspiration of fallen instrument."",
       'It showed excellent grip of the instrument during stage two uncover time and also saved operators time.']",Accidental aspiration or swallowing of the dental instruments during routine implant surgeries can be prevented by tying the implant instruments to the operator's ring with silk ligatures or dental floss.,Hard,Use of magnetic strips attached to the implant hex drive prevents aspiration.,Incomplete Information
Is late onset spinal motor neuronopathy caused by mutation in CHCHD10?,"['A study was undertaken to identify the responsible gene defect underlying late onset spinal motor neuronopathy (LOSMoN/SMAJ; Online Mendelian Inheritance in Man #615048), an autosomal dominant disease mapped to chromosome 22q11.2.',
       'The previous genetic linkage approach by microsatellite haplotyping was continued in new families. A whole genome sequencing was performed to find all possibly pathogenic mutations in the linked area. The detected variations were verified by Sanger sequencing.',
       'Six new SMAJ families were identified based on the unique founder haplotype. A critical recombination in 1 family restricted the linked area to 727kb between markers SHGC-106816 and D22S345. In whole genome sequencing a previously unknown mutation c.197G>T p.G66V in CHCHD10 was identified. The mutation was shown to segregate with the disease in 55 patients from 17 families.']","Mutation c.197G>T p.G66V in CHCHD10 is the cause of the lower motor neuron syndrome LOSMoN/SMAJ. During the preparation of this article other mutations were reported to cause frontotemporal dementia-amyotrophic lateral sclerosis syndrome, indicating that the CHCHD10 gene is largely important for the motor and cognitive neuronal systems.",Hard,Mutation c.197G>T p.G66V in CHCHD10 causes mitochondrial dysfunction leading to lower motor neuron syndrome LOSMoN/SMAJ.,Mechanism and Pathway Misattribution
Does low perfusion index affect the difference in glucose level between capillary and venous blood?,"['In emergency cases, finger stick testing is primarily used to check the blood glucose value of patients since it takes longer to obtain the venous value. In critical patients, under conditions that cause an increase in metabolic state and level of stress, there occurs considerable difference in glucose levels between capillary and venous measurements. This study aimed to investigate the comparability of capillary and venous glucose values, according to the perfusion index level obtained with the Masimo Radical-7(®) device, in critical patients aged 18 years and over.',
       'We conducted this prospective and observational study in the emergency department of the Eskisehir Osmangazi University hospital between November 3, 2008 and February 2, 2009.',
       'The blood glucose of 300 critical patients was checked by finger stick in the emergency unit. The participants with normal vital signs had perfusion index between 0 and 5; the results obtained by the two methods were more consistent for perfusion index values of 6 and over. The results were most consistent in aged participants with normal vital sign findings and low perfusion index and in young patients with high perfusion index. In the cases where at least one of the vital signs was abnormal, the glucose values obtained by the two methods were more consistent when the perfusion index was 6 or over. In this group, independently from the perfusion index value, the consistency was higher in younger patients compared with aged patients.']","In the emergency department, perfusion index value measured by Masimo Radical-7 and capillary blood glucose levels can serve in blood sugar management in critically ill patients.",Hard,Low perfusion index directly affects glucose metabolism in capillary blood.,Mechanism and Pathway Misattribution
Are multiple pathways responsible for anti-inflammatory and cardiovascular activities of Hordeum vulgare L?,"['Hordeum vulgare L. (HV or barley) is used by traditional healers to treat various inflammatory and cardiovascular diseases, without the knowledge of pharmacologic rationale behind its actions. This study was designed to explore the potential scientific mechanism(s) that could explain the use of Hordeum vulgare in traditional medicine as a treatment for various inflammatory and cardiovascular diseases.',
       'A crude extract and its three fractions were prepared from HV and screened for the inhibition of platelet aggregation and various metabolites of cyclooxygenase (COX), lipoxygenase (LOX) pathways of arachidonic acid (AA) metabolism as well as for its effects on certain antioxidant enzymes. Platelet aggregation was monitored using turbidometric principle, AA metabolism through radioimmunoassay and antioxidant enzymes by commercial kits using spectrophotometer.',
       'Results show that HV exhibited activities against all human platelet agonists used except adenine diphosphate, and inhibited both COX and LOX pathways of AA metabolism. It also elevated the activities of superoxide dismutase (SOD) and glutathione peroxidase (GPx). However, these activities were distributed in various fractions of HV. Aqueous fraction was most potent in elevating SOD activity; chloroform fraction had concentrated compounds responsible for COX inhibition while n-hexane seems to possess compounds responsible for LOX inhibition as well as the only fraction enhancing the activity of GPx.']",These results suggest the likely mechanisms responsible for observed anti-inflammatory and cardiovascular effects of HV in traditional medicine.,Hard,HV's effects are due to modulation of nitric oxide synthase and peroxisome proliferator-activated receptor-γ pathways.,Mechanism and Pathway Misattribution
Does [ ITF increase the transcriptional activity of ITF promoter via the JAK-STAT3 signal transduction pathway ]?,"['To investigate the eff ect of intestinal trefoil factor (ITF) on the transcriptional activity of ITF promoter and to explore the regulatory mechanism of Janus kinase/signal transducers and activators of transcription (JAK/STAT) on ITF promoter.',
       ""The 5' flanking sequence of the ITF gene was cloned from human whole blood genomic DNA by PCR. ITF promoter fragment was cloned and inserted into the pGL3-Basic vector to construct recombinant vector. ITF promoter vector was stimulated with ITF at various concentrations and the luciferase activity was measured. The JAK-STAT3 signal transduction pathway was then blocked by a specific inhibitor AG490 to determine the signal pathway involved in ITF promoter activity."",
       'Restriction endonuclease analysis and DNA sequencing confirmed that the recombinant plasmid, containing ITF promoter, was constructed successfully. After transient transfection, the activity of ITF promoter was increased significantly in the presence of ITF (P<0.05). Blockage of the JAK-STAT3 signal transduction pathway with AG490 significantly reduced the ITF promoter activity (P<0.05).']",ITF increases the transcriptional activity of ITF promoter via the JAK-STAT3 signal transduction pathway.,Hard,ITF increases the transcriptional activity of ITF promoter via the PI3K-Akt signal transduction pathway.,Mechanism and Pathway Misattribution
Does clinical evaluation of pazopanib eye drop versus ranibizumab intravitreal injections in subjects with neovascular age-related macular degeneration?,"['To evaluate pazopanib eye drops in subjects with active subfoveal choroidal neovascularization (CNV) secondary to age-related macular degeneration (AMD).',
       'Multicountry, randomized, parallel-group, double-masked, active and placebo-controlled, dose-ranging study of eye drops.',
       'A total of 510 subjects (93% white; 58% female; mean age, 75.3 years) whose AMD was previously managed by anti-vascular endothelial growth factor intravitreal injections.',
       'Treatments administered for 52 weeks included placebo eye drops instilled 4 times daily (n=73); pazopanib 5 mg/ml instilled 3 (n=72) or 4 times daily (n=74); pazopanib 10 mg/ml instilled 2 (n=73), 3 (n=73), or 4 times daily (n=72); or ranibizumab injection administered once every 4 weeks (n=73). In addition, for all eye drop treatment groups, open-label ranibizumab was administered as needed.',
       'The main outcome measures were best-corrected visual acuity (BCVA) and injection frequency assessed at week 52. Safety was assessed every 4 weeks and pazopanib plasma concentrations were determined at weeks 4 and 24.',
       'At week 52, pazopanib, with allowance for as-needed ranibizumab injections, was noninferior to monthly ranibizumab as well as to as-needed ranibizumab administered with placebo eye drops in maintaining BCVA (estimated BCVA gains of 0.3-1.8 vs. 1.4 vs. 0.2 letters, respectively). Pazopanib treatment did not reduce as-needed ranibizumab injections by ≥50% (prespecified efficacy criterion). At week 52, there were no clinically meaningful changes from baseline in retinal thickness or morphology, CNV size, or lesion characteristics on optical coherence tomography or fluorescein angiography. Complement factor H genotype had no effect on the responses to pazopanib and/or ranibizumab (BCVA, injection rate, or optical coherence tomography/fluorescein angiography changes). Steady-state concentrations of pazopanib in plasma seemed to be reached by week 4. The most common ocular adverse events related to pazopanib and ranibizumab were application site pain (3%) and injection site hemorrhage (1%), respectively. No treatment-related serious adverse events were reported.']",Pazopanib was well tolerated. Daily pazopanib eye drops in neovascular AMD subjects did not result in therapeutic benefit beyond that obtained with ranibizumab alone.,Easy,Pazopanib eye drops significantly outperform ranibizumab in neovascular AMD.,Incomplete Information
Does long-term treadmill exercise attenuate tau pathology in P301S tau transgenic mice?,"[""Recent epidemiological evidence suggests that modifying lifestyle by increasing physical activity could be a non-pharmacological approach to improving symptoms and slowing disease progression in Alzheimer's disease and other tauopathies. Previous studies have shown that exercise reduces tau hyperphosphorylation, however, it is not known whether exercise reduces the accumulation of soluble or insoluble tau aggregates and neurofibrillary tangles, which are both neuropathological hallmarks of neurodegenerative tauopathy. In this study, 7-month old P301S tau transgenic mice were subjected to 12-weeks of forced treadmill exercise and evaluated for effects on motor function and tau pathology at 10\xa0months of age."",
       'Exercise improved general locomotor and exploratory activity and resulted in significant reductions in full-length and hyperphosphorylated tau in the spinal cord and hippocampus as well as a reduction in sarkosyl-insoluble AT8-tau in the spinal cord. Exercise did not attenuate significant neuron loss in the hippocampus or cortex. Key proteins involved in autophagy-microtubule-associated protein 1A/1B light chain 3 and p62/sequestosome 1 -were also measured to assess whether autophagy is implicated in the exercised-induced reduction of aggregated tau protein. There were no significant effects of forced treadmill exercise on autophagy protein levels in P301S mice.']","Our results suggest that forced treadmill exercise differently affects the brain and spinal cord of aged P301S tau mice, with greater benefits observed in the spinal cord versus the brain. Our work adds to the growing body of evidence that exercise is beneficial in tauopathy, however these benefits may be more limited at later stages of disease.",Hard,Forced treadmill exercise reduces tau pathology by enhancing autophagy in the brain.,Mechanism and Pathway Misattribution
Does alpha and beta EEG power reflect L-dopa acute administration in parkinsonian patients?,"['To evaluate the effect of an acute L-dopa administration on eye-closed resting state electroencephalographic (EEG) activity of cognitively preserved Parkinsonian patients.',
       ""We examined 24 right-handed patients diagnosed as uncomplicated probable Parkinson's disease (PD). Each patient underwent Unified Parkinson's Disease Rating Scale (UPDRS)-part-III evaluation before and 60 min after an oral load of L-dopa-methyl-ester/carbidopa 250/25 mg. Resting condition eyes-closed EEG data were recorded both pre- and post L-dopa load. Absolute EEG power values were calculated at each scalp derivation for Delta, Theta, Alpha and Beta frequency bands. UPDRS scores (both global and subscale scores) and EEG data (power values of different frequency bands for each scalp derivation) were submitted to a statistical analysis to compare Pre and Post L-Dopa conditions. Finally, a correlation analysis was carried out between EEG spectral content and UPDRS scores."",
       'Considering EEG power spectral analysis, no statistically significant differences arose on Delta and Theta bands after L-dopa intake. Conversely, Alpha and Beta rhythms significantly increased on centro-parietal scalp derivations, as a function of L-dopa administration. Correlation analysis indicated a significant negative correlation between Beta power increase on centro-parietal areas and UPDRS subscores (Rigidity of arms and Bradykinesia). A minor significant negative correlation was also found between Alpha band increase and resting tremor.']","Assuming that a significant change in EEG power spectrum after L-dopa intake may be related to dopaminergic mechanisms, our findings are consistent with the hypothesis that dopaminergic defective networks are implicated in cortical oscillatory abnormalities at rest in non-demented PD patients.",Medium,Alpha and beta EEG power increase is due to enhanced glutamate release post-L-dopa.,Mechanism and Pathway Misattribution
Does subclinical left ventricular dysfunction by echocardiographic speckle-tracking strain analysis relate to outcome in sarcoidosis?,"['Limited data exist on the risk of developing cardiac sarcoidosis (CS) and/or adverse events in sarcoidosis patients. Using LV global longitudinal strain (GLS), an emerging sensitive parameter of LV function, we evaluated the prevalence of subclinical cardiac dysfunction in sarcoidosis and investigated whether LVGLS predicts adverse outcomes in this population.',
       'A total of 130 patients with proven sarcoidosis undergoing echocardiography at our referral centre were identified. Following exclusion of those with evidence of CS (n\u2009=\u200914) or other pre-existing structural heart disease (n\u2009=\u200916), 100 patients (55\u2009±\u200913\u2009years, 48% male, 90% pulmonary involvement) and 100 age- and gender-matched controls were included. LVGLS was measured by speckle-tracking analysis. The primary endpoint was a composite of all-cause mortality, heart failure hospitalization, device implantation, new arrhythmias, or future development of CS on advanced cardiac imaging modalities. LVGLS was significantly impaired in sarcoidosis patients compared with controls (-17.3\u2009±\u20092.5 vs. -20.0\u2009±\u20091.6%, P\u2009<\u20090.001). Overall, 27 patients (27%) reached the endpoint during a median follow-up of 35 months. On Cox proportional hazards model analysis, abnormal 24-h Holter, larger LV end-diastolic diameters, and more impaired LVGLS were significantly associated with the endpoint; however, only LVGLS remained independently associated on multivariate analysis [hazard ratio (HR) 1.4, 95% confidence interval (CI) 1.1-1.7, P\u2009=\u20090.006]. Patients with LVGLS less than -17.3% were significantly more likely to be free of the primary endpoint (log-rank P\u2009=\u20090.01).']","LVGLS is impaired in sarcoidosis patients, suggesting subclinical cardiac dysfunction despite the absence of conventional evidence of cardiac disease, and is independently associated with occurrence of cardiac events and/or development of CS.",Easy,LVGLS impairment in sarcoidosis results from increased oxidative stress.,Mechanism and Pathway Misattribution
Are guanine quadruplexes formed by specific regions of human transposable elements?,"['Transposable elements form a significant proportion of eukaryotic genomes. Recently, Lexa et al. (Nucleic Acids Res 42:968-978, 2014) reported that plant long terminal repeat (LTR) retrotransposons often contain potential quadruplex sequences (PQSs) in their LTRs and experimentally confirmed their ability to adopt four-stranded DNA conformations.',
       ""Here, we searched for PQSs in human retrotransposons and found that PQSs are specifically localized in the 3'-UTR of LINE-1 elements, in LTRs of HERV elements and are strongly accumulated in specific regions of SVA elements. Circular dichroism spectroscopy confirmed that most PQSs had adopted monomolecular or bimolecular guanine quadruplex structures. Evolutionarily young SVA elements contained more PQSs than older elements and their propensity to form quadruplex DNA was higher. Full-length L1 elements contained more PQSs than truncated elements; the highest proportion of PQSs was found inside transpositionally active L1 elements (PA2 and HS families).""],
      dtype=object), 'labels': array(['BACKGROUND', 'RESULTS']",Conservation of quadruplexes at specific positions of transposable elements implies their importance in their life cycle. The increasing quadruplex presence in evolutionarily young LINE-1 and SVA families makes these elements important contributors toward present genome-wide quadruplex distribution.,Hard,Guanine quadruplexes are formed by specific regions of human transposable elements due to high CpG density.,Mechanism and Pathway Misattribution
"Is circulating soluble LR11 , a novel marker of smooth muscle cell proliferation , enhanced after coronary stenting in response to vascular injury?","['Restenosis after vascular intervention remains a major clinical problem. Circulating LR11 has been shown a novel marker of intimal smooth muscle cell (SMC) proliferation in human and animal studies. The present study was performed to clarify the clinical significance of circulating LR11 in patients with stable angina pectoris after coronary stenting.',
       'We firstly investigated the circulating sLR11 levels for 28 days after arterial injury in mice, and then assessed time-dependent change in circulating sLR11 level after coronary stenting in a clinical study. Mouse sLR11 levels rapidly increased to 4.0-fold of the control value without cuff placement at postoperative day (POD) 14, and the levels gradually declined to 3.1-fold of the control value until POD 28 in mice. The circulating soluble LR11 levels were measured (before and at 14, 60 and 240 days after coronary stenting in a clinical study of 102 consecutive patients with stable angina pectoris who were treated with percutaneous coronary intervention. Circulating sLR11 levels were significantly increased on days 14 and 60 after the procedure and positively associated with the angiographic late loss index.']",Our study suggested that circulating sLR11 levels may be a potential marker for angiographic late loss in patients after coronary stenting. Further mechanistic studies are expected to know the clinical significance of sLR11 as a novel marker for intimal SMC.,Hard,Soluble LR11 enhances after stenting but doesn't correlate with late loss.,Incomplete Information
